regio1,regio2,regio3,baseRent,totalRent,livingSpace,noRooms,floor,numberOfFloors,yearConstructed,condition,interiorQual,lift,balcony,hasKitchen,cellar,garden,typeOfFlat,serviceCharge,heatingType,newlyConst,picturecount,pricetrend,date,rent_per_sqm,neighborhood,district_part,bezirk,date_clean,district_name,avg_monthly_income_eur,median_monthly_income_eur,unemployment_rate_pct,population,transfer_income_share_pct,rent_burden_pct
Berlin,Berlin,Köpenick_Köpenick,526.88,724.42,65.86,2.0,1.0,4.0,1995.0,well_kept,normal,True,True,False,True,False,apartment,79.0,central_heating,False,10,8.54,Sep18,8.0,Köpenick,Köpenick,Treptow-Köpenick,2018-09,Treptow-Köpenick,2050,1900,7.0,274000,10.5,25.701463414634144
Berlin,Berlin,Tiergarten_Tiergarten,2272.0,,142.0,3.0,4.0,5.0,2015.0,first_time_use,luxury,True,True,True,False,False,,284.0,floor_heating,False,32,8.22,Oct19,16.0,Tiergarten,Tiergarten,Mitte,2019-10,Mitte,1850,1650,12.8,384000,22.5,122.8108108108108
Berlin,Berlin,Mitte_Mitte,2190.0,,162.5,4.0,5.0,7.0,2001.0,,,True,False,True,True,False,apartment,450.0,district_heating,False,15,6.22,Feb20,13.476923076923075,Mitte,Mitte,Mitte,2020-02,Mitte,1850,1650,12.8,384000,22.5,118.37837837837837
Berlin,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,2460.0,2830.0,123.0,2.0,6.0,6.0,2014.0,mint_condition,luxury,True,True,True,True,True,,370.0,floor_heating,False,18,7.21,Oct19,20.0,Prenzlauer_Berg,Prenzlauer_Berg,Pankow,2019-10,Pankow,2200,2050,6.5,413000,9.5,111.81818181818181
Berlin,Berlin,Johannisthal_Treptow,699.87,,65.47,2.0,1.0,,1928.0,first_time_use_after_refurbishment,normal,False,True,False,False,False,,146.0,district_heating,False,18,7.05,Oct19,10.689934321063085,Johannisthal,Treptow,Treptow-Köpenick,2019-10,Treptow-Köpenick,2050,1900,7.0,274000,10.5,34.14
Berlin,Berlin,Tiergarten_Tiergarten,675.0,773.6,27.0,2.0,4.0,6.0,2019.0,first_time_use,sophisticated,True,True,True,True,False,apartment,48.6,floor_heating,True,3,7.56,Feb20,25.0,Tiergarten,Tiergarten,Mitte,2020-02,Mitte,1850,1650,12.8,384000,22.5,36.486486486486484
Berlin,Berlin,Adlershof_Treptow,912.0,1015.0,48.0,2.0,4.0,,1905.0,,,False,False,False,False,False,,58.0,central_heating,False,17,9.64,Sep18,19.0,Adlershof,Treptow,Treptow-Köpenick,2018-09,Treptow-Köpenick,2050,1900,7.0,274000,10.5,44.487804878048784
Berlin,Berlin,Schöneberg_Schöneberg,966.6,1097.66,55.0,2.0,0.0,6.0,2019.0,first_time_use,sophisticated,False,True,True,True,False,terraced_flat,131.06,floor_heating,True,4,9.63,May19,17.574545454545454,Schöneberg,Schöneberg,Tempelhof-Schöneberg,2019-05,Tempelhof-Schöneberg,2100,1950,8.3,351000,13.5,46.02857142857143
Berlin,Berlin,Kreuzberg_Kreuzberg,700.0,1100.0,39.0,1.0,3.0,4.0,1900.0,fully_renovated,sophisticated,False,False,True,True,False,apartment,400.0,,False,7,10.59,May19,17.94871794871795,Kreuzberg,Kreuzberg,Friedrichshain-Kreuzberg,2019-05,Friedrichshain-Kreuzberg,1900,1750,9.2,289000,16.8,36.84210526315789
Berlin,Berlin,Spandau_Spandau,555.0,755.0,78.96,2.5,4.0,9.0,2017.0,well_kept,,True,True,True,True,False,,160.0,central_heating,False,14,6.28,Feb20,7.02887537993921,Spandau,Spandau,Spandau,2020-02,Spandau,1700,1550,11.5,245000,18.5,32.64705882352941
Berlin,Berlin,Mitte_Mitte,1420.0,1740.0,58.0,2.0,3.0,,2016.0,first_time_use,luxury,True,False,True,True,False,apartment,320.0,district_heating,False,20,5.92,Feb20,24.482758620689655,Mitte,Mitte,Mitte,2020-02,Mitte,1850,1650,12.8,384000,22.5,76.75675675675676
Berlin,Berlin,Wittenau_Reinickendorf,2000.0,2200.0,149.0,3.0,,,,,,False,True,True,False,False,maisonette,200.0,oil_heating,False,3,8.26,May19,13.422818791946307,Wittenau,Reinickendorf,Reinickendorf,2019-05,Reinickendorf,1800,1650,10.2,265000,16.0,111.11111111111111
Berlin,Berlin,Charlottenburg_Charlottenburg,400.0,470.0,40.0,1.0,3.0,4.0,,,,False,True,True,False,False,apartment,70.0,gas_heating,False,13,6.83,Oct19,10.0,Charlottenburg,Charlottenburg,Charlottenburg-Wilmersdorf,2019-10,Charlottenburg-Wilmersdorf,2400,2200,7.8,342000,11.2,16.666666666666664
Berlin,Berlin,Schöneberg_Schöneberg,1482.0,1642.0,74.11,2.5,5.0,5.0,1905.0,refurbished,,True,False,False,False,False,apartment,160.0,central_heating,False,25,7.59,Oct19,19.9973013088652,Schöneberg,Schöneberg,Tempelhof-Schöneberg,2019-10,Tempelhof-Schöneberg,2100,1950,8.3,351000,13.5,70.57142857142857
Berlin,Berlin,Spandau_Spandau,745.45,,71.0,2.0,,,2018.0,first_time_use,,True,True,False,False,False,roof_storey,177.49,central_heating,True,11,8.67,May19,10.499295774647887,Spandau,Spandau,Spandau,2019-05,Spandau,1700,1550,11.5,245000,18.5,43.85
